rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	3	N/A	-275.09223998430303	C21H32O4	[M - H2O + H]+	KAYVLEFKNGBWRK	InChI=1S/C21H32O4/c1-13(2)21(25)10-7-15-14(11-21)16(22)12-20(5)18(15,3)8-6-9-19(20,4)17(23)24/h11,13,15,25H,6-10,12H2,1-5H3,(H,23,24)	null	CC(C)C1(CCC2C(=C1)C(=O)CC3(C2(CCCC3(C)C(=O)O)C)C)O	3.5	46230315	COCONUT:(CNP0248424);PubChem:(46230315);PNC:(LTS0256152);PubMed	68721573954
2	3	N/A	-307.44976662698167	C21H32O4	[M - H2O + H]+	NAAKMWGAXDJMGM	InChI=1S/C21H32O4/c1-13(2)14-12-21-10-7-16-19(3,17(21)11-15(14)24-25-21)8-6-9-20(16,4)18(22)23-5/h12-13,15-17H,6-11H2,1-5H3	2H-2,4a-Ethenonaphtho[2,1-c][1,2]dioxin-7-carboxylic acid, 1,5,6,6a,7,8,9,10,10a,10b-decahydro-7,10a-dimethyl-12-(1-methylethyl)-, methyl ester	CC(C)C1=CC23CCC4C(C2CC1OO3)(CCCC4(C)C(=O)OC)C	4.0999999	495212;6711890;14164116;90662522;101105384	COCONUT:(CNP0391558);Natural Products:(UNPD139091);PubChem:(495212 6711890 14164116 90662522 101105384);PNC:(LTS0003921);SuperNatural:(SN00316166)	68722655234
3	3	N/A	-309.4286116848745	C21H32O4	[M - H2O + H]+	OEGVTAZVZYUFGW	InChI=1S/C21H32O4/c1-13(2)20-9-10-21(25-20)14(15(22)12-20)11-16-18(3,17(23)24-5)7-6-8-19(16,21)4/h13-14,16H,6-12H2,1-5H3	null	CC(C)C12CCC3(O1)C(CC4C3(CCCC4(C)C(=O)OC)C)C(=O)C2	3.4000001	101005575	COCONUT:(CNP0198460);Natural Products:(UNPD16331);PubChem:(101005575);PNC:(LTS0114672);SuperNatural:(SN00317966)	68722655234
4	3	N/A	-312.38761915907276	C21H32O4	[M - H2O + H]+	CDSMEVRLHTXVHK	InChI=1S/C21H32O4/c1-13(2)21(25-5)10-7-15-14(12-21)16(22)11-17-19(15,3)8-6-9-20(17,4)18(23)24/h12-13,15,17H,6-11H2,1-5H3,(H,23,24)	null	CC(C)C1(CCC2C(=C1)C(=O)CC3C2(CCCC3(C)C(=O)O)C)OC	3.70000005	10760165	COCONUT:(CNP0202442);Natural Products:(UNPD42143 UNPD131272);PubChem:(10760165);PNC:(LTS0182913 LTS0046941);SuperNatural:(SN00356113 SN00364819);PubMed	68722655298
5	3	N/A	-331.605767986373	C21H32O4	[M - H2O + H]+	PWYIITFCWUJCMR	InChI=1S/C21H32O4/c1-14(12-20(23)24)7-9-18-15(2)8-10-19-17(13-25-16(3)22)6-5-11-21(18,19)4/h12,17-19H,2,5-11,13H2,1,3-4H3,(H,23,24)	null	CC(=CC(=O)O)CCC1C(=C)CCC2C1(CCCC2COC(=O)C)C	4.70750141	""	COCONUT:(CNP0238331);Natural Products:(UNPD173901);PNC:(LTS0204308 LTS0128258);SuperNatural:(SN00261682)	68722655232
6	3	N/A	-341.42000982964487	C21H32O4	[M - H2O + H]+	DGDPHTZXZIFFEV	InChI=1S/C21H32O4/c1-14(2)20-11-12-21(25-24-20)15(13-20)7-8-16-18(3,17(22)23-5)9-6-10-19(16,21)4/h13-14,16H,6-12H2,1-5H3	3H-3,10b-Ethanonaphtho[1,2-c]-1,2-dioxin-7-carboxylic acid, 5,6,6a,7,8,9,10,10a-octahydro-7,10a-dimethyl-3-(1-methylethyl)-, methyl ester	CC(C)C12CCC3(C(=C1)CCC4C3(CCCC4(C)C(=O)OC)C)OO2	4.19999981	500107;6711891;6711892;13891655;13891657;90662167;101937324	COCONUT:(CNP0280205);Natural Products:(UNPD150460 UNPD188543);PubChem:(500107 6711891 6711892 13891655 13891657 90662167 101937324);PNC:(LTS0184062 LTS0213843 LTS0257949);SuperNatural:(SN00225001 SN00319013)	68722655234
1	3	0.021457664815463573	-264.5947834564234	C21H30O3	[M + H]+	QMTZBWPBIQZLBJ	InChI=1S/C21H30O3/c1-19(2,24)15-7-8-16-14(12-15)6-9-17-20(3,13-18(22)23)10-5-11-21(16,17)4/h7-8,12,17,24H,5-6,9-11,13H2,1-4H3,(H,22,23)	null	CC1(CCCC2(C1CCC3=C2C=CC(=C3)C(C)(C)O)C)CC(=O)O	4.5999999	44566201	COCONUT:(CNP0078074);PubChem:(44566201);PNC:(LTS0248187);PubMed	68721573954
2	3	N/A	-272.0540024648892	C21H30O3	[M + H]+	QBAITYMIZWFOLG	InChI=1S/C21H30O3/c1-19(2,24-5)15-8-9-16-14(13-15)7-10-17-20(16,3)11-6-12-21(17,4)18(22)23/h8-9,13,17H,6-7,10-12H2,1-5H3,(H,22,23)	null	CC12CCCC(C1CCC3=C2C=CC(=C3)C(C)(C)OC)(C)C(=O)O	4.69999981	46230129;75179805;133561992	COCONUT:(CNP0124413);Natural Products:(UNPD74559 UNPD216911);PubChem:(46230129 75179805 133561992);PNC:(LTS0084166 LTS0257851);SuperNatural:(SN00228648);PubMed	68722655298
3	3	N/A	-282.6685132337135	C21H30O3	[M + H]+	IGUDTNVZIOWVIV	InChI=1S/C21H30O3/c1-19(2,23)15-8-9-16-14(13-15)7-10-17-20(16,3)11-6-12-21(17,4)18(22)24-5/h8-9,13,17,23H,6-7,10-12H2,1-5H3	15-Hydroxydehydroabietic acid, methyl ester	CC12CCCC(C1CCC3=C2C=CC(=C3)C(C)(C)O)(C)C(=O)OC	4.5	628860;5319574;11573479;124355323	COCONUT:(CNP0197662);KNApSAcK:(49001);Natural Products:(UNPD165841 UNPD96043);PubChem:(628860 5319574 11573479 124355323);PNC:(LTS0074776 LTS0067008);SuperNatural:(SN00158105 SN00299360);Training Set	68722671634
4	3	N/A	-342.58255713611544	C21H30O3	[M + H]+	LWJLYRSDULCASM	InChI=1S/C21H30O3/c1-14(2)15-7-9-17-16(13-15)8-10-18-20(3,19(22)23-5)11-6-12-21(18,4)24-17/h7,9,13-14,18H,6,8,10-12H2,1-5H3	null	CC(C)C1=CC2=C(C=C1)OC3(CCCC(C3CC2)(C)C(=O)OC)C	5.0	101005576	COCONUT:(CNP0194733);Natural Products:(UNPD109534);PubChem:(101005576);PNC:(LTS0178821 LTS0150656);SuperNatural:(SN00313272)	68722655234
