rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C21H32O3	[M - H2O + H]+	C21H30O2	0.9999999999999999	77.7558546640576	77.7558546640576	0.0	25	0.7111559527241282	-2.2867536581730192	2.654113747562425	-57132.61515946265	
1	C21H30O2	[M + H]+	C21H30O2	0.9999999999999999	77.7558546640576	77.7558546640576	0.0	24	0.7111559527241282	-2.2867536581730192	2.654113747562425	1.6334411777609261	
2	C18H36O3S	[M - H2O + H]+	C18H34O2S	0.0	51.59904257736752	51.59904257736752	0.0	28	0.7104352839434998	-2.253810808568728	4.940996196480154	-57143.30926420604	
2	C18H34O2S	[M + H]+	C18H34O2S	0.0	51.59904257736752	51.59904257736752	0.0	27	0.7104352839434998	-2.253810808568728	4.940996196480154	-9.060663565616697	
3	C16H32N3OS	[M + H]+	C16H32N3OS	0.0	47.80996014788959	47.80996014788959	0.0	27	0.7470452579994238	-2.253810808568728	4.711115007547026	-4.801316743473346	
3	C16H34N3O2S	[M - H2O + H]+	C16H32N3OS	0.0	47.80996014788959	47.80996014788959	0.0	28	0.7470452579994238	-2.253810808568728	4.711115007547026	-57139.049917384255	
4	C14H34N3OS	[M + Na]+	C14H34N3OS	0.0	45.9696091791348	45.9696091791348	0.0	25	0.7244162582876913	0.6149182560085551	4.070125845458346	2.8301583744068424	
5	C19H30N3O2	[M - H2O + H]+	C19H28N3O	0.0	44.66487755573375	44.66487755573375	0.0	26	0.7225425194580573	-2.253810808568728	4.940996196480154	-57128.35581264088	
5	C19H28N3O	[M + H]+	C19H28N3O	0.0	44.66487755573375	44.66487755573375	0.0	25	0.7225425194580573	-2.253810808568728	4.940996196480154	5.8927879997239545	
6	C19H34N	[M + K]+	C19H34N	0.0	41.432041373696656	41.432041373696656	0.0	24	0.7121648890170079	-1.768109858591606	2.654113747562425	0.2803567914652538	
