id	molecularFormula	adduct	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
576_mz3_iin_sirius_637	C21H34O5	[M + Na]+	Fatty acids	0.8429694175720215	Eicosanoids	0.5358651876449585	Prostaglandins	0.33740711212158203	Fatty acid esters	0.521223247051239			Fatty acid esters	0.521223247051239	Fatty Acyls	0.866102933883667	Lipids and lipid-like molecules	0.9640100002288818	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Monocarboxylic acids and derivatives; Cyclic alcohols and derivatives; Secondary alcohols; Carbonyl compounds; Oxanes; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
320_mz3_iin_sirius_352	C18H38O7	[M + Na]+	Fatty acids	0.8858271837234497	Glycerolipids	0.7369643449783325	Fatty acyl glycosides of mono- and disaccharides	0.511954128742218	Alkyl glycosides	0.5047258734703064	Alkyl glycosides	0.5047258734703064	Fatty acyl glycosides	0.5803880095481873	Fatty Acyls	0.5629692673683167	Lipids and lipid-like molecules	0.735908031463623	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Fatty acyl glycosides; Glycosyl compounds; Alkyl glycosides; O-glycosyl compounds; Polyols; Fatty acyl glycosides of mono- and disaccharides; Fatty Acyls; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
512_mz3_iin_sirius_564	C20H32O3	[M + H]+	Fatty acids	0.774787425994873	Eicosanoids	0.5421430468559265	Leukotrienes	0.29897305369377136	Hydroxy fatty acids	0.5504369735717773	Hydroxy fatty acids	0.5504369735717773	Fatty acids and conjugates	0.6631681323051453	Fatty Acyls	0.8657118082046509	Lipids and lipid-like molecules	0.9400821924209595	Organic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Hydroxy fatty acids; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
192_mz3_iin_sirius_217	C26H56N3O14	[M + Na]+	Carbohydrates	0.39226120710372925	Ornithine alkaloids	0.38369035720825195	Polyamines	0.5426803231239319	Aminocyclitol glycosides	0.6093994975090027	Aminosaccharides	0.7401591539382935	Carbohydrates and carbohydrate conjugates	0.9992154836654663	Organooxygen compounds	0.9999984502792358	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organonitrogen compounds; Aminoglycosides; Primary alcohols; Organooxygen compounds; Monoalkylamines; Monosaccharides; Acetals; Secondary alcohols; Aminocyclitol glycosides; 1,2-aminoalcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Amines; Primary amines; Alkanolamines; Aminocyclitols and derivatives; Cyclohexanols; Aminosaccharides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
448_mz3_iin_sirius_490	C5H11N3O7	[M + H]+	Carbohydrates	0.7276809811592102	Aminosugars and aminoglycosides	0.8341542482376099	Aminosugars	0.7385644316673279	Alpha amino acids and derivatives	0.7341565489768982	Amino acids and derivatives	0.8074926733970642	Amino acids, peptides, and analogues	0.7878658175468445	Carboxylic acids and derivatives	0.5574267506599426	Organic acids and derivatives	0.9988412261009216	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Hydrazines and derivatives; Semicarbazides; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Organic carbonic acids and derivatives; Ureas; Nitrosoureas; Hexoses; Monosaccharides; Secondary alcohols; Carbonyl compounds; Polyols; N-methylnitrosoureas; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
129_mz3_iin_sirius_149	C7H6O3	[M + H]+	Shikimates and Phenylpropanoids	0.6645346283912659	Phenolic acids (C6-C1)	0.6948739886283875	Simple phenolic acids	0.5717537999153137	Benzoyl derivatives	0.7844617366790771			Benzoyl derivatives	0.7844617366790771	Benzene and substituted derivatives	0.849181592464447	Benzenoids	0.9473873376846313	Organic compounds; Phenols; Organic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Benzene and substituted derivatives; Benzenoids; Aryl-aldehydes; Vinylogous acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities
193_mz3_iin_sirius_219	C16H26N3O7	[M + Na]+	Alkaloids	0.7689265608787537	Small peptides	0.6878691911697388	Dipeptides	0.26758038997650146	Alpha amino acids and derivatives	0.8814539909362793	Amino acids and derivatives	0.9298831820487976	Amino acids, peptides, and analogues	0.9313012957572937	Carboxylic acids and derivatives	0.9857223033905029	Organic acids and derivatives	0.9924781322479248	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; 1,2-aminoalcohols; Amines; Alkanolamines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
577_mz3_iin_sirius_640	C16H18O2	[M - H2O + H]+	Shikimates and Phenylpropanoids	0.8332200050354004	Meroterpenoids	0.26755496859550476	Simple aromatic polyketides	0.08455760031938553	Phenol ethers	0.6340945363044739					Phenol ethers	0.6340945363044739	Benzenoids	0.9954604506492615	Organic compounds; Ketones; Alkyl aryl ethers; Phenols; Ethers; Organooxygen compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Phenoxy compounds; Chemical entities
65_mz3_iin_sirius_79	C16H22O9	[M + Na]+	Shikimates and Phenylpropanoids	0.7174808382987976	Phenylethanoids (C6-C2)	0.31641852855682373	Simple phenolic acids	0.3337964415550232	Phenolic glycosides	0.5331850647926331	Glycosyl compounds	0.9250455498695374	Carbohydrates and carbohydrate conjugates	0.9964764714241028	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Hexoses; Monosaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Phenol ethers; Benzenoids; Oxacyclic compounds; Hydrocarbon derivatives; Phenolic glycosides; Organic oxygen compounds; Phenoxy compounds; Chemical entities
384_mz3_iin_sirius_423	C19H28O4	[M - H2O + H]+	Terpenoids	0.622218906879425	Diterpenoids	0.34941530227661133	Pregnane steroids	0.1386304646730423	Androgens and derivatives	0.7090907692909241	Androgens and derivatives	0.7090907692909241	Androstane steroids	0.5957013368606567	Steroids and steroid derivatives	0.207677960395813	Lipids and lipid-like molecules	0.6253558397293091	Organic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Organooxygen compounds; Cyclic alcohols and derivatives; Androgens and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Cyclic ketones; Androstane steroids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
