rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
1	C40H62O5	[M + Na]+	C40H62O5	0.9999999999999999	2098.3257994272503	2098.3257994272503	0.0	28	0.5658736249680225	0.9360621357674339	4.152079567322586	0.8123412041439309	DG(20:5_17:3)	645.44947	1435.121955871582	1716_mz3_iin_sirius_2284
2	C45H78O5	[M + Na]+	C45H78O5	0.9999999999999999	2013.8690973641037	2006.88366571138	6.98543165272361	10	0.20177796154641311	4.275114161605297	6.3356500428180915	5.373741770969303	DG(34:2_8:3)	721.57802	1437.4520006147213	1718_mz3_iin_sirius_2286
3	C38H64O5	[M + Na]+	C38H64O5	0.9999999999999999	1066.5619877345837	1066.5619877345837	0.0	16	0.48631508678237656	1.7624959377586675	2.6094809436218664	2.1237850250381123	DG(17:1_18:4)	623.46592	1451.4540481567383	1739_mz3_iin_sirius_2308
4	C39H64O5	[M + Na]+	C39H64O5	0.9999999999999999	1056.3452101805476	1056.3452101805476	0.0	21	0.6085245901639341	2.259106901324774	8.248487835157896	2.2716338999876693	DG(22:2_14:4)	635.46604	1463.910026550293	1748_mz3_iin_sirius_2322
5	C20H28O3	[M + H]+	C20H28O3	0.9999999999999999	180.63156407488984	180.63156407488984	0.0	53	0.9607541447302129	2.369555012619365	2.928610403667128	-56770.7441609588		317.21325	772.5334845404523	644_mz3_iin_sirius_720
6	C30H22O11	[M + H]+	C30H22O11	0.9999999999999999	175.46625933480388	175.46625933480388	0.0	54	0.9475610146691436	1.0419016494731799	3.239951043756435	1.580973020384376		559.12437	336.52195930480957	287_mz3_iin_sirius_318
7	C20H28O3	[M + H]+	C20H28O3	0.9999999999999999	170.9000215291001	167.62606394267496	3.2739575864251176	37	0.6638332612976036	1.5801626501395343	4.4083305002678745	-56776.36428682982		317.21157	1074.7328567504883	1079_mz3_iin_sirius_1288
8	C21H30O3	[M + H]+	C21H30O3	0.9999999999999999	166.19684754786985	166.19684754786985	0.0	48	0.9323457772033608	1.7163454428454323	3.7094380498939206	-54372.179967183845		331.22776	971.9867959482508	922_mz3_iin_sirius_1092
9	C18H28O3	[M + H]+	C18H28O3	0.9999999999999999	160.36795537239095	156.7095765176719	3.6583788547190412	27	0.6294322607091618	0.8258395443745954	4.0171422110394825	0.4825174897693464		293.21126	927.1540260314941	848_mz3_iin_sirius_1011
10	C21H42N3O5	[M - H2O + H]+	C21H40N3O4	0.9999999999999999	154.00637504322458	154.00637504322458	0.0	37	0.7031163475620446	2.4393477681447653	5.11813793569428	-45099.152074243044		399.31113	991.6620254516602	932_mz3_iin_sirius_1103
11	C20H28O4	[M - H2O + H]+	C20H26O3	0.9999999999999999	151.4973487174862	151.4973487174862	0.0	47	0.9239935748172682	0.7478978479280233	3.049019545173045	-57138.181609999825		315.19629	546.8876810687652	381_mz3_iin_sirius_420
12	C30H22O11	[M + H]+	C30H22O11	0.9999999999999999	150.4090222676735	150.4090222676735	0.0	54	0.9557309740482971	2.0266539054429105	3.721550101374093	1.364647193787859		559.12425	271.57599887847607	189_mz3_iin_sirius_214
13	C20H28O3	[M + H]+	C20H28O3	0.9999999999999999	149.47397431827574	149.47397431827574	0.0	49	0.9177066762877808	2.386300412927339	4.425582355901759	-0.5543210613514079		317.21095	704.1030120849609	516_mz3_iin_sirius_569
13	C20H28O3	[M + H]+	C20H28O3	0.9999999999999999	148.93201025679502	146.92910334212456	2.0029069146704694	25	0.5070394207562351	-0.6930011873361412	5.43440130590071	-113556.1310954398		317.21100	591.2369728088379	422_mz3_iin_sirius_464
14	C23H48O6	[M + Na]+	C23H48O6	0.9999999999999999	145.9470740036563	144.04411080066373	1.902963202992579	37	0.7367555717939349	-0.40352400026056656	4.1525997761788185	6.162312345239943		443.33704	1134.239957124371	1186_mz3_iin_sirius_1407
15	C29H56N3O8	[M + H]+	C29H56N3O8	0.9999999999999999	144.38862438765798	139.22405789063544	5.164566497022537	42	0.7938894536893359	0.6376562368650734	6.275731776659193	-0.5369968896970371		575.41371	1118.4666316039136	1137_mz3_iin_sirius_1350
16	C19H22O4	[M + H]+	C19H22O4	0.9999999999999999	141.76032884814478	137.4131053949913	4.347223453153477	44	0.9099537733526628	1.0683436313273047	3.049019545173045	2.8580072007455315		315.15999	538.4520149230957	385_mz3_iin_sirius_424
17	C17H22O4	[M + H]+	C17H22O4	0.9999999999999999	141.4851700726227	137.92894989028204	3.5562201823406694	28	0.6619579500657028	0.8739768161939232	5.7275352327662565	-61859.42144207945		291.15874	590.6790161132812	421_mz3_iin_sirius_463
18	C20H28O2	[M + H]+	C20H28O2	0.9999999999999999	141.29512772084263	138.2922185162989	3.002909204543721	28	0.7006518904823991	1.348467384529685	4.670193601989215	-59791.64871866758		301.21654	553.036994934082	395_mz3_iin_sirius_436
